X,Y,concentration,v_x,v_y,v_z
0.0145,0.0145,0.00176,0.02164,0.17673,-0.02273
0.0435,0.0145,0.00179,0.0357,0.1794,-0.01679
0.0725,0.0145,0.0018,0.04894,0.17797,-0.01275
0.1015,0.0145,0.00181,0.05798,0.17625,-0.00872
0.1305,0.0145,0.00181,0.06317,0.17348,-0.00656
0.1595,0.0145,0.00181,0.06404,0.17375,-0.00262
0.1885,0.0145,0.00182,0.06241,0.17265,-0.00054
0.2175,0.0145,0.00183,0.05742,0.17443,0.0037
0.2465,0.0145,0.00183,0.05012,0.17515,0.0071
0.2755,0.0145,0.00184,0.04214,0.17457,0.00907
0.3045,0.0145,0.00186,0.03197,0.17492,0.01059
0.3335,0.0145,0.00188,0.01799,0.17599,0.01158
0.3625,0.0145,0.00193,0.00472,0.16885,0.0107
0.3915,0.0145,0.00196,-0.00462,0.16033,0.00876
0.4205,0.0145,0.00199,-0.01133,0.15468,0.00673
0.4495,0.0145,0.002,-0.0169,0.15137,0.00466
0.4785,0.0145,0.00201,-0.02027,0.14697,0.00219
0.5075,0.0145,0.00202,-0.02216,0.14618,0.00169
0.5365,0.0145,0.00203,-0.02411,0.14439,0.00095
0.5655,0.0145,0.00204,-0.02535,0.1433,0.00081
0.5945,0.0145,0.00205,-0.02624,0.14244,0.00075
0.6235,0.0145,0.00206,-0.02709,0.14115,0.00066
0.6525,0.0145,0.00208,-0.0277,0.13939,0.00043
0.6815,0.0145,0.00209,-0.02808,0.13792,0.00034
0.7105,0.0145,0.0021,-0.02807,0.13595,8e-05
0.7395,0.0145,0.00212,-0.02762,0.13358,-0.00043
0.7685,0.0145,0.00213,-0.02669,0.13123,-0.00095
0.7975,0.0145,0.00215,-0.02528,0.12857,-0.00151
0.8265,0.0145,0.00217,-0.02251,0.12575,-0.00303
0.8555,0.0145,0.00218,-0.01935,0.12234,-0.00376
0.8845,0.0145,0.00221,-0.0137,0.11836,-0.00482
0.9135,0.0145,0.00224,-0.00707,0.11575,-0.00823
0.9425,0.0145,0.00228,0.00451,0.11546,-0.0139
0.9715,0.0145,0.00232,0.01731,0.11156,-0.01574
1.0005,0.0145,0.00235,0.03329,0.11113,-0.01742
1.0295,0.0145,0.00239,0.04815,0.11147,-0.01689
1.0585,0.0145,0.00241,0.06413,0.11023,-0.01637
1.0875,0.0145,0.00244,0.07638,0.10864,-0.01382
1.1165,0.0145,0.00246,0.08635,0.10593,-0.01155
1.1455,0.0145,0.00247,0.0967,0.10372,-0.01066
