X,Y,concentration,v_x,v_y,v_z
0.025,0.025,0.76322,0.0,0.0,0.0
0.075,0.025,0.76322,0.0,0.0,0.0
0.125,0.025,0.76322,0.0,0.0,0.0
0.175,0.025,0.79664,0.0003,0.02528,0.00049
0.225,0.025,0.79653,-0.0002,0.03285,0.0077
0.275,0.025,0.79651,0.00014,0.03756,-0.00268
0.325,0.025,0.79684,0.00089,0.04656,-0.01251
0.375,0.025,0.79688,0.00126,0.04718,-0.01913
0.425,0.025,0.79694,0.00163,0.04989,-0.02485
0.475,0.025,0.79694,0.00356,0.05063,-0.02689
0.525,0.025,0.797,0.00451,0.055,-0.04089
0.575,0.025,0.79716,0.00154,0.05133,-0.04776
0.625,0.025,0.79727,0.00048,0.05054,-0.0558
0.675,0.025,0.79733,0.00022,0.05135,-0.05709
0.725,0.025,0.79743,0.00022,0.05202,-0.05886
0.775,0.025,0.7977,-0.00109,0.05292,-0.06301
0.825,0.025,0.79799,-0.00071,0.05337,-0.06006
0.875,0.025,0.79847,0.00013,0.05,-0.06145
0.925,0.025,0.79859,-0.00025,0.05057,-0.0615
0.975,0.025,0.7991,-2e-05,0.05439,-0.06437
1.025,0.025,0.79965,-0.0001,0.05777,-0.06646
1.075,0.025,0.80084,-0.00441,0.06153,-0.06531
1.125,0.025,0.80161,-0.01148,0.06457,-0.06303
1.175,0.025,0.80152,-0.00262,0.06873,-0.05281
1.225,0.025,0.80205,-0.00104,0.06848,-0.05651
1.275,0.025,0.80265,-0.00294,0.06483,-0.0616
1.325,0.025,0.80429,-0.00358,0.07734,-0.05318
1.375,0.025,0.80479,-0.0002,0.0807,-0.05019
1.425,0.025,0.80743,-0.00113,0.07879,-0.04987
1.475,0.025,0.80861,-0.00156,0.08174,-0.04663
1.525,0.025,0.80919,-0.00228,0.08702,-0.04171
1.575,0.025,0.81007,-0.00247,0.0864,-0.04292
1.625,0.025,0.81055,-0.00104,0.08783,-0.03918
1.675,0.025,0.81056,-0.00109,0.08945,-0.04138
1.725,0.025,0.8113,-0.00179,0.08956,-0.03973
1.775,0.025,0.81134,-0.00025,0.08952,-0.03854
1.825,0.025,0.81178,-0.00094,0.08714,-0.03548
1.875,0.025,0.81184,0.00022,0.0885,-0.03353
1.925,0.025,0.81211,5e-05,0.0846,-0.03383
1.975,0.025,0.81223,0.00018,0.08765,-0.03156
2.025,0.025,0.81233,7e-05,0.08195,-0.03403
2.075,0.025,0.81254,9e-05,0.08349,-0.02973
2.125,0.025,0.81258,0.00077,0.07593,-0.03114
2.175,0.025,0.81266,0.00111,0.07605,-0.03685
2.225,0.025,0.81267,2e-05,0.07452,-0.04524
2.275,0.025,0.81266,-0.00022,0.07445,-0.0532
2.325,0.025,0.81258,0.00297,0.07941,-0.05668
2.375,0.025,0.81188,0.00327,0.07511,-0.07282
2.425,0.025,0.81092,0.00264,0.07516,-0.08204
2.475,0.025,0.81089,0.00811,0.07916,-0.08051
2.525,0.025,0.80857,0.00308,0.06952,-0.09471
2.575,0.025,0.80534,0.00034,0.0645,-0.11084
2.625,0.025,0.80453,0.00091,0.06127,-0.10918
2.675,0.025,0.80389,0.00099,0.05504,-0.10748
2.725,0.025,0.80382,0.00072,0.04809,-0.10621
2.775,0.025,0.80372,0.00048,0.04147,-0.10423
2.825,0.025,0.80354,0.00229,0.03684,-0.09522
2.875,0.025,0.80325,0.00605,0.03491,-0.10559
2.925,0.025,0.80225,0.00289,0.0305,-0.10573
2.975,0.025,0.80132,0.0009,0.02467,-0.09189
3.025,0.025,0.8002,0.00287,0.01829,-0.0835
3.075,0.025,0.79915,0.00307,0.00875,-0.07544
3.125,0.025,0.79872,-0.00059,0.00253,-0.0645
3.175,0.025,0.79836,0.0009,0.00548,-0.06299
3.225,0.025,0.79725,-8e-05,-0.00041,-0.06053
3.275,0.025,0.79659,0.00039,-0.00779,-0.06449
3.325,0.025,0.79581,0.00082,-0.01574,-0.06645
3.375,0.025,0.79529,0.00137,-0.02474,-0.06982
3.425,0.025,0.79587,0.00132,-0.02921,-0.07172
3.475,0.025,0.79655,0.00674,-0.03682,-0.08072
3.525,0.025,0.79741,0.00441,-0.0373,-0.05947
3.575,0.025,0.79806,0.0019,-0.03389,-0.03267
3.625,0.025,0.7981,0.00078,-0.03644,-0.03188
3.675,0.025,0.79811,0.00064,-0.03994,-0.03292
3.725,0.025,0.79813,0.00051,-0.04344,-0.03396
3.775,0.025,0.7981,0.00101,-0.04963,-0.03747
3.825,0.025,0.79809,0.00128,-0.05711,-0.04173
3.875,0.025,0.79801,0.00023,-0.0616,-0.04431
3.925,0.025,0.79801,0.00258,-0.06675,-0.04921
3.975,0.025,0.79794,0.00366,-0.06755,-0.05379
4.025,0.025,0.79784,0.00499,-0.07739,-0.06397
4.075,0.025,0.79785,0.00037,-0.08581,-0.06533
4.125,0.025,0.79775,0.00279,-0.09787,-0.07914
4.175,0.025,0.79779,-0.00021,-0.11165,-0.07492
4.225,0.025,0.79755,-0.00594,-0.10575,-0.09029
4.275,0.025,0.79752,-0.00408,-0.11601,-0.08665
4.325,0.025,0.79738,-0.00712,-0.12383,-0.08199
4.375,0.025,0.79657,-0.00479,-0.12022,-0.10142
4.425,0.025,0.79645,-0.00898,-0.12261,-0.10598
4.475,0.025,0.79593,-0.00964,-0.12943,-0.12394
4.525,0.025,0.79542,-0.00436,-0.12881,-0.13983
4.575,0.025,0.79505,-0.00365,-0.1272,-0.13727
4.625,0.025,0.79487,-0.00429,-0.13263,-0.12571
4.675,0.025,0.79401,-0.00262,-0.11793,-0.14884
4.725,0.025,0.79377,-0.00125,-0.11591,-0.15282
4.775,0.025,0.79354,0.0005,-0.10908,-0.12683
4.825,0.025,0.79315,0.00091,-0.09547,-0.13202
4.875,0.025,0.7927,0.00052,-0.08715,-0.1397
4.925,0.025,0.79232,-0.00034,-0.09221,-0.13237
4.975,0.025,0.79177,-0.00213,-0.10179,-0.14781
5.025,0.025,0.79105,-0.00297,-0.10492,-0.16338
5.075,0.025,0.7908,-0.00086,-0.11319,-0.16934
5.125,0.025,0.79058,-0.00129,-0.10982,-0.18101
5.175,0.025,0.7906,-0.00371,-0.10286,-0.18352
5.225,0.025,0.79065,-0.02332,-0.08854,-0.17293
5.275,0.025,0.79046,-0.01609,-0.07095,-0.17767
5.325,0.025,0.78979,-0.00276,-0.05105,-0.19792
5.375,0.025,0.78879,-0.00505,-0.03748,-0.22496
5.425,0.025,0.76322,0.0,0.0,0.0
5.475,0.025,0.76322,0.0,0.0,0.0
0.025,0.075,0.76322,0.0,0.0,0.0
0.075,0.075,0.79677,-0.00266,0.00783,-0.00832
0.125,0.075,0.79672,0.00069,0.02135,-0.00101
0.175,0.075,0.79663,0.00017,0.02722,0.0054
0.225,0.075,0.79654,0.00419,0.039,0.00655
0.275,0.075,0.79651,0.00492,0.04214,0.0053
0.325,0.075,0.79665,0.002,0.04631,-0.00578
0.375,0.075,0.79686,0.00509,0.05304,-0.01992
0.425,0.075,0.79699,0.01039,0.05449,-0.02721
0.475,0.075,0.79704,0.01248,0.05464,-0.03371
0.525,0.075,0.79705,0.00902,0.05686,-0.04342
0.575,0.075,0.79706,0.00696,0.05665,-0.04509
0.625,0.075,0.79713,0.00904,0.05522,-0.04827
0.675,0.075,0.79726,0.00489,0.05408,-0.05586
0.725,0.075,0.79748,-0.00105,0.05347,-0.05794
0.775,0.075,0.79775,-0.00261,0.0528,-0.06294
0.825,0.075,0.79783,-0.00199,0.05272,-0.06342
0.875,0.075,0.79814,-0.00172,0.052,-0.0645
0.925,0.075,0.79861,-0.00344,0.05388,-0.06334
0.975,0.075,0.79892,-0.00446,0.05394,-0.06218
1.025,0.075,0.79991,-0.00512,0.05852,-0.06481
1.075,0.075,0.80132,-0.01416,0.06153,-0.06138
1.125,0.075,0.80172,-0.01297,0.06222,-0.06153
1.175,0.075,0.80192,-0.01214,0.06437,-0.06267
1.225,0.075,0.80253,-0.00903,0.06849,-0.05932
1.275,0.075,0.80388,-0.00879,0.07414,-0.05663
1.325,0.075,0.80449,-0.00858,0.07368,-0.05779
1.375,0.075,0.80504,-0.00529,0.07728,-0.05537
1.425,0.075,0.80832,-0.00347,0.07876,-0.05021
1.475,0.075,0.80915,-0.0062,0.08361,-0.04974
1.525,0.075,0.80957,-0.0086,0.0834,-0.05037
1.575,0.075,0.81009,-0.00916,0.0853,-0.04793
1.625,0.075,0.81154,-0.00558,0.08709,-0.04371
1.675,0.075,0.81219,-0.00478,0.08898,-0.04229
1.725,0.075,0.81201,-0.00327,0.09051,-0.04013
1.775,0.075,0.81227,-0.00139,0.0902,-0.03799
1.825,0.075,0.81295,-0.00025,0.08786,-0.03682
1.875,0.075,0.81283,0.00054,0.08764,-0.03594
1.925,0.075,0.8132,0.00149,0.08755,-0.03605
1.975,0.075,0.81263,0.00163,0.07625,-0.03021
2.025,0.075,0.81276,0.00637,0.08519,-0.03456
2.075,0.075,0.81285,0.00144,0.07883,-0.0332
2.125,0.075,0.8128,0.00607,0.07866,-0.03408
2.175,0.075,0.81278,0.00565,0.07751,-0.04175
2.225,0.075,0.81274,0.00544,0.077,-0.05092
2.275,0.075,0.81271,0.00523,0.07752,-0.05451
2.325,0.075,0.81125,0.00412,0.08511,-0.08005
2.375,0.075,0.81113,0.01007,0.09302,-0.08235
2.425,0.075,0.81161,0.00971,0.08515,-0.08529
2.475,0.075,0.81089,0.01124,0.0873,-0.09111
2.525,0.075,0.8102,0.01322,0.0872,-0.10761
2.575,0.075,0.80738,0.00805,0.0806,-0.11075
2.625,0.075,0.80396,0.00512,0.05966,-0.11281
2.675,0.075,0.80399,0.00535,0.05749,-0.11338
2.725,0.075,0.8038,0.004,0.04735,-0.11143
2.775,0.075,0.80357,0.00835,0.04449,-0.10774
2.825,0.075,0.80347,0.00847,0.0405,-0.10658
2.875,0.075,0.80339,0.00832,0.03683,-0.10565
2.925,0.075,0.80264,0.00998,0.03308,-0.10508
2.975,0.075,0.80159,0.00646,0.02723,-0.09706
3.025,0.075,0.80018,0.01027,0.01793,-0.08174
3.075,0.075,0.79954,0.0094,0.01483,-0.07999
3.125,0.075,0.79879,0.00588,0.01507,-0.08036
3.175,0.075,0.79812,0.00908,0.01094,-0.07217
3.225,0.075,0.79731,0.00414,0.0006,-0.06495
3.275,0.075,0.79584,0.00764,-0.01138,-0.07106
3.325,0.075,0.79599,0.01396,-0.0088,-0.07218
3.375,0.075,0.79545,0.01098,-0.01419,-0.07589
3.425,0.075,0.79569,0.01164,-0.02454,-0.07812
3.475,0.075,0.79678,0.01574,-0.03681,-0.07521
3.525,0.075,0.79753,0.02084,-0.04143,-0.06808
3.575,0.075,0.79792,0.02067,-0.04142,-0.0536
3.625,0.075,0.79813,0.01175,-0.035,-0.03358
3.675,0.075,0.79813,0.00573,-0.04143,-0.0337
3.725,0.075,0.79814,0.011,-0.04447,-0.03635
3.775,0.075,0.79817,0.0134,-0.04838,-0.03862
3.825,0.075,0.79813,0.00478,-0.05952,-0.04218
3.875,0.075,0.79804,0.01349,-0.06308,-0.04678
3.925,0.075,0.79805,0.01034,-0.07089,-0.05036
3.975,0.075,0.79798,0.00862,-0.07061,-0.04931
4.025,0.075,0.79786,0.00054,-0.07277,-0.05698
4.075,0.075,0.79778,-0.00328,-0.07301,-0.05423
4.125,0.075,0.79781,0.00047,-0.09544,-0.06841
4.175,0.075,0.79755,-0.00694,-0.09857,-0.08823
4.225,0.075,0.79758,-0.01173,-0.10855,-0.0806
4.275,0.075,0.79747,-0.01075,-0.09558,-0.08091
4.325,0.075,0.79737,-0.01384,-0.1055,-0.09078
4.375,0.075,0.79681,-0.01116,-0.10466,-0.10691
4.425,0.075,0.79662,-0.01765,-0.09582,-0.10584
4.475,0.075,0.79661,-0.01715,-0.10093,-0.10683
4.525,0.075,0.79613,-0.01867,-0.12403,-0.11853
4.575,0.075,0.79564,-0.00892,-0.11384,-0.1178
4.625,0.075,0.79506,-0.02067,-0.11578,-0.14174
4.675,0.075,0.79482,-0.01396,-0.12325,-0.13401
4.725,0.075,0.79386,-0.00318,-0.11485,-0.15048
4.775,0.075,0.7939,-0.00705,-0.09783,-0.13723
4.825,0.075,0.79354,-0.00417,-0.09526,-0.13673
4.875,0.075,0.79351,-0.00199,-0.08756,-0.13938
4.925,0.075,0.79226,-0.00131,-0.10794,-0.13184
4.975,0.075,0.79212,-0.00796,-0.10619,-0.14053
5.025,0.075,0.79157,-0.00658,-0.10797,-0.15033
5.075,0.075,0.79096,-0.00787,-0.10346,-0.16705
5.125,0.075,0.791,-0.01221,-0.09351,-0.17516
5.175,0.075,0.79083,-0.01719,-0.08596,-0.17406
5.225,0.075,0.79087,-0.04232,-0.10255,-0.16448
5.275,0.075,0.79081,-0.03569,-0.09296,-0.17198
5.325,0.075,0.79016,-0.027,-0.06928,-0.19279
5.375,0.075,0.78923,-0.04943,-0.04554,-0.2052
5.425,0.075,0.78861,-0.04186,-0.01959,-0.22299
5.475,0.075,0.76322,0.0,0.0,0.0
0.025,0.125,0.76322,0.0,0.0,0.0
0.075,0.125,0.79664,-0.00835,0.00385,0.00393
0.125,0.125,0.79658,-0.00556,0.02069,0.00661
0.175,0.125,0.79654,0.00029,0.03476,0.01342
0.225,0.125,0.79653,0.00587,0.04263,0.01022
0.275,0.125,0.7965,0.00718,0.04536,0.01241
0.325,0.125,0.79647,0.00936,0.04741,0.01453
0.375,0.125,0.79659,0.01475,0.05242,-0.00785
0.425,0.125,0.7968,0.01783,0.05259,-0.01212
0.475,0.125,0.7969,0.01622,0.05348,-0.02446
0.525,0.125,0.7969,0.0115,0.05497,-0.03156
0.575,0.125,0.79685,0.01272,0.05509,-0.03313
0.625,0.125,0.79675,0.02008,0.05407,-0.02989
0.675,0.125,0.79711,0.00969,0.05492,-0.05339
0.725,0.125,0.79747,-0.00055,0.05212,-0.05457
0.775,0.125,0.79777,-0.00187,0.05062,-0.06022
0.825,0.125,0.79791,-0.00163,0.04921,-0.06212
0.875,0.125,0.7984,-0.00356,0.04922,-0.06279
0.925,0.125,0.79912,-0.00846,0.05073,-0.06256
0.975,0.125,0.80016,-0.01557,0.05151,-0.06112
1.025,0.125,0.80153,-0.01622,0.05785,-0.0611
1.075,0.125,0.80206,-0.01447,0.05815,-0.06178
1.125,0.125,0.80268,-0.01505,0.05895,-0.06145
1.175,0.125,0.80275,-0.01541,0.06044,-0.06369
1.225,0.125,0.80481,-0.01556,0.06405,-0.06169
1.275,0.125,0.80679,-0.01509,0.06891,-0.05878
1.325,0.125,0.8067,-0.01524,0.06925,-0.05934
1.375,0.125,0.80962,-0.01992,0.06691,-0.05752
1.425,0.125,0.81083,-0.01495,0.0772,-0.05079
1.475,0.125,0.81078,-0.01166,0.07784,-0.05327
1.525,0.125,0.81131,-0.01205,0.0789,-0.05373
1.575,0.125,0.81217,-0.01261,0.08064,-0.05142
1.625,0.125,0.81265,-0.0082,0.08493,-0.0481
1.675,0.125,0.81331,-0.00547,0.08585,-0.04501
1.725,0.125,0.8133,-0.00463,0.08439,-0.04494
1.775,0.125,0.81358,-0.00395,0.08413,-0.04224
1.825,0.125,0.81443,0.001,0.08597,-0.03798
1.875,0.125,0.81407,0.00173,0.08609,-0.03675
1.925,0.125,0.81432,0.00415,0.0832,-0.03874
1.975,0.125,0.81474,0.007,0.082,-0.03945
2.025,0.125,0.81466,0.01274,0.08209,-0.03916
2.075,0.125,0.81471,0.01648,0.08028,-0.04183
2.125,0.125,0.81455,0.01615,0.07974,-0.04073
2.175,0.125,0.81428,0.01737,0.08234,-0.04714
2.225,0.125,0.81417,0.01983,0.08423,-0.05168
2.275,0.125,0.81409,0.01982,0.08668,-0.05616
2.325,0.125,0.813,0.02066,0.09079,-0.08135
2.375,0.125,0.81282,0.01806,0.09096,-0.07622
2.425,0.125,0.81309,0.01837,0.09029,-0.07404
2.475,0.125,0.81286,0.0188,0.09054,-0.07737
2.525,0.125,0.81262,0.02085,0.08956,-0.08847
2.575,0.125,0.81138,0.02458,0.0898,-0.09951
2.625,0.125,0.80681,0.02355,0.08134,-0.10932
