X,Y,concentration,wind_speed,wind_dir
0.0725,0.1305,0.00197,0.08707,271.98106
4.0455,0.0145,0.00142,0.09772,290.2486
3.9005,0.2465,0.00144,0.01631,199.00156
3.8425,0.2465,0.00157,0.03262,276.76115
4.0745,0.0145,0.00142,0.09914,290.49314
0.2175,0.0145,0.00183,0.18364,71.77915
0.1305,0.2465,0.00206,0.04798,276.64217
3.1755,0.1595,0.0036,0.05338,38.16868
0.0435,0.0145,0.00179,0.18292,78.74535
0.2175,0.1305,0.00198,0.10916,272.5518
0.0435,0.2465,0.00204,0.06006,274.32554
0.9715,0.1015,0.0025,0.10651,80.89761
3.9295,0.2465,0.00141,0.02362,207.50887
4.1905,0.0145,0.00139,0.10599,292.62361
4.2775,0.0145,0.00138,0.10884,294.87441
3.3785,0.0435,0.00323,0.08635,66.5226
0.6235,0.1305,0.00216,0.07818,283.73405
4.3065,0.2465,0.00135,0.0408,180.37916
0.4785,0.1305,0.0021,0.08606,279.31457
0.3625,0.2465,0.00209,0.04394,282.59387
2.4795,0.1885,0.00413,0.0249,195.70518
1.4065,0.1015,0.00279,0.05367,14.64468
1.5515,0.1015,0.0027,0.06874,47.63548
3.2625,0.0435,0.00343,0.08069,54.26916
2.3925,0.0725,0.00399,0.02688,283.35892
3.2045,0.1595,0.00358,0.05164,37.69105
2.6245,0.0725,0.00393,0.03147,271.94858
3.7265,0.1595,0.0018,0.06313,288.83389
1.7545,0.1015,0.00364,0.0372,271.12451
4.5965,0.0145,0.00132,0.09391,293.82745
3.6105,0.0435,0.00168,0.05946,300.3258
1.8125,0.2175,0.00408,0.02947,188.54807
0.7685,0.2465,0.00227,0.02426,277.72262
4.5675,0.0145,0.00133,0.09545,296.70196
0.8555,0.0145,0.00218,0.12386,278.98778
2.8275,0.1885,0.00387,0.03347,62.76127
4.7125,0.1305,0.00131,0.08341,281.22775
3.6395,0.0435,0.00166,0.05762,302.51237
0.8845,0.1305,0.00236,0.07556,274.68367
4.1035,0.0435,0.00141,0.07759,299.75679
1.0875,0.1305,0.00286,0.06607,73.08728
3.0595,0.0725,0.00362,0.06345,52.04819
3.1465,0.0725,0.00355,0.06866,49.24032
4.1325,0.1595,0.00138,0.04695,336.31262
3.8715,0.1595,0.00146,0.01536,347.97299
2.9435,0.0725,0.00372,0.0523,59.38948
1.2035,0.0145,0.0025,0.14499,41.18295
1.0005,0.2465,0.00294,0.1115,282.32983
4.0455,0.1595,0.00139,0.03852,338.92511
0.9715,0.0145,0.00232,0.11289,81.18014
0.1885,0.0435,0.00187,0.16128,76.58759
2.0735,0.2175,0.00424,0.04242,200.05811
0.4205,0.0435,0.00202,0.13771,273.8055
2.4795,0.2175,0.00417,0.0258,199.89583
2.3635,0.2175,0.00423,0.03474,206.20364
1.4065,0.0145,0.00254,0.13932,29.47962
2.3925,0.2175,0.00421,0.03277,205.39192
1.5225,0.0145,0.00252,0.12261,35.4361
0.4785,0.2755,0.00214,0.02536,295.18068
4.3645,0.1595,0.00136,0.05021,329.82487
3.2625,0.1885,0.00356,0.04208,33.45595
3.2915,0.1885,0.00352,0.03979,34.8764
0.4205,0.2755,0.00212,0.02846,290.59375
4.2775,0.0435,0.00138,0.08739,304.15194
2.3635,0.1015,0.00404,0.0206,328.01526
4.7415,0.1595,0.00129,0.09155,275.6041
2.6825,0.2175,0.00402,0.01435,289.49539
3.5815,0.1885,0.00208,0.05115,86.00935
1.8415,0.2465,0.00417,0.03423,191.68089
3.5525,0.1885,0.00218,0.05542,78.3616
0.7685,0.2755,0.00227,0.01445,271.78496
1.8705,0.0145,0.00377,0.07364,273.43316
4.5385,0.0435,0.00133,0.08008,302.83281
4.5095,0.0435,0.00134,0.08104,304.7117
1.7835,0.2465,0.00408,0.02932,186.28623
1.7255,0.1305,0.00347,0.05216,83.59309
2.6245,0.2175,0.00407,0.01318,333.41551
0.8555,0.1595,0.00233,0.05769,276.78874
2.1315,0.1305,0.00411,0.03109,182.61762
1.2615,0.2755,0.00307,0.05702,339.77564
2.0155,0.1305,0.00409,0.03024,359.26111
3.8715,0.0725,0.00146,0.03846,305.50824
2.9725,0.1015,0.0037,0.05235,53.86561
1.2615,0.0435,0.00268,0.11701,34.40714
3.1175,0.2175,0.00369,0.04808,32.96292
1.9575,0.2465,0.00424,0.04022,196.46591
1.0585,0.0435,0.00254,0.11684,60.2314
