X,Y,concentration,wind_speed,wind_dir
0.1305,0.2465,0.00206,0.04798,276.64217
2.0445,0.0725,0.00401,0.02768,299.56519
2.8855,0.0435,0.00376,0.05664,68.36765
3.0595,0.0435,0.00361,0.07048,56.2468
3.0305,0.0435,0.00364,0.06804,57.78843
3.1755,0.0435,0.00351,0.07828,52.93393
1.0005,0.2175,0.00288,0.10325,279.70226
3.0595,0.1595,0.00367,0.0546,42.88495
0.3045,0.0145,0.00186,0.17782,79.64241
0.1595,0.0145,0.00181,0.18518,69.76735
0.1305,0.1305,0.00197,0.09696,272.09223
0.2755,0.2465,0.00207,0.04789,278.93717
3.1465,0.1595,0.00362,0.05475,39.09944
4.1905,0.2465,0.00136,0.04387,184.53695
0.6235,0.0145,0.00206,0.14373,280.8643
3.2625,0.1595,0.00353,0.04802,38.22559
1.4065,0.2175,0.00292,0.0258,318.15805
0.5075,0.0145,0.00202,0.14785,278.62006
4.2485,0.2465,0.00136,0.04309,182.71366
2.4795,0.1885,0.00413,0.0249,195.70518
2.3055,0.0725,0.004,0.02605,288.83133
4.2775,0.2465,0.00136,0.04211,181.67388
3.3495,0.1595,0.00339,0.04431,46.271
1.4645,0.1015,0.00276,0.05322,21.42555
2.5375,0.1885,0.0041,0.01991,186.86449
4.4225,0.0145,0.00135,0.10592,298.53707
1.6385,0.1015,0.00287,0.10685,69.00022
2.5665,0.0725,0.00395,0.0302,275.28203
0.6525,0.0145,0.00208,0.14212,281.23956
4.5095,0.1305,0.00134,0.05275,312.43371
1.7835,0.1015,0.00381,0.02312,293.07168
3.6105,0.0435,0.00168,0.05946,300.3258
4.4805,0.2465,0.00134,0.03023,337.06521
1.7545,0.2175,0.00389,0.02219,333.23861
3.8135,0.0435,0.00149,0.05082,298.19385
1.6675,0.2175,0.00333,0.06329,274.56742
0.7395,0.1305,0.00222,0.07106,283.7253
3.7265,0.1595,0.0018,0.06313,288.83389
2.6535,0.0725,0.00392,0.03204,270.1073
3.9585,0.0435,0.00143,0.06379,297.29211
1.2035,0.1305,0.0029,0.0358,42.14664
0.1595,0.1595,0.002,0.0869,274.70615
0.9715,0.2465,0.00272,0.13468,277.95562
3.1465,0.1885,0.00364,0.05039,35.30503
1.1165,0.0145,0.00246,0.13667,50.81442
3.0885,0.1885,0.00368,0.05265,38.3913
3.9875,0.0435,0.00143,0.06715,297.9159
3.0595,0.1885,0.00369,0.05343,40.43031
4.0745,0.0435,0.00141,0.07519,299.30255
0.1305,0.2755,0.00207,0.0381,276.26878
2.1895,0.2175,0.00425,0.04202,204.2837
1.1455,0.0145,0.00247,0.14181,47.00605
0.5365,0.2755,0.00216,0.02254,298.4867
3.4365,0.1885,0.00302,0.04799,63.03447
4.3935,0.1595,0.00135,0.04924,328.40165
3.3205,0.0725,0.00338,0.06988,53.78275
3.3785,0.1885,0.00332,0.03834,47.14534
1.4355,0.2465,0.00296,0.04835,311.2517
3.4655,0.1885,0.0028,0.05589,67.30758
1.4645,0.1305,0.00279,0.03625,27.92932
1.2905,0.2465,0.00302,0.04044,342.9004
2.2475,0.2175,0.00425,0.04042,205.74732
4.3355,0.1595,0.00136,0.05129,331.49118
1.4645,0.0145,0.00253,0.13236,30.15455
2.5375,0.1015,0.00399,0.01962,304.03024
1.6965,0.0145,0.00326,0.10876,82.29605
0.8265,0.0435,0.00222,0.10459,280.59442
0.7685,0.1595,0.00226,0.05653,282.95207
0.8555,0.2755,0.00234,0.02691,82.61357
2.7985,0.1015,0.00385,0.03175,73.7398
4.7705,0.1595,4e-05,0.0,180.0
4.5965,0.1595,0.00133,0.04779,300.40659
4.7125,0.1595,0.00131,0.0753,279.90264
1.8705,0.1305,0.00403,0.02336,353.68418
4.4805,0.0435,0.00134,0.0826,305.46994
3.7555,0.1885,0.0018,0.06698,281.19083
2.8565,0.2175,0.00385,0.04003,57.14353
