X,Y,concentration,wind_speed,wind_dir
0.225,0.425,0.79687,0.04118,326.41028
0.125,0.375,0.79673,0.04928,297.92749
0.375,0.075,0.79686,0.05328,5.48162
0.325,0.075,0.79665,0.04635,2.47291
0.425,0.175,0.7967,0.05531,19.82734
0.375,0.425,0.79663,0.04832,26.22038
0.275,0.025,0.79651,0.03756,0.21356
0.275,0.375,0.79672,0.04385,357.80443
0.275,0.125,0.7965,0.04592,8.99468
0.125,0.275,0.79665,0.03735,311.54818
0.875,0.175,0.79895,0.04993,350.22071
1.075,0.275,0.80199,0.06255,332.61562
0.725,0.375,0.79752,0.0572,355.86942
0.775,0.125,0.79777,0.05065,357.88435
0.725,0.325,0.79741,0.0529,1.63565
0.875,0.375,0.79879,0.06197,338.88881
0.575,0.025,0.79716,0.05135,1.71847
0.875,0.225,0.79944,0.05149,344.70877
0.925,0.175,0.79958,0.05188,345.4897
1.025,0.175,0.80173,0.05794,337.17018
1.425,0.175,0.8122,0.0685,338.80276
1.125,0.025,0.80161,0.06558,349.91864
1.225,0.125,0.80481,0.06591,346.34536
1.475,0.425,0.81,0.0625,329.23278
1.175,0.275,0.8069,0.06357,335.05552
1.425,0.325,0.81086,0.06519,332.22427
1.225,0.025,0.80205,0.06849,359.12992
1.525,0.425,0.8102,0.06151,331.37244
1.575,0.125,0.81217,0.08162,351.11241
1.375,0.075,0.80504,0.07746,356.08408
1.925,0.275,0.81286,0.07353,2.30712
1.675,0.225,0.81314,0.07036,349.05419
2.175,0.425,0.81179,0.08068,22.30519
1.825,0.375,0.81186,0.06293,352.01668
2.075,0.125,0.81471,0.08195,11.6006
1.725,0.425,0.81013,0.05921,340.38068
2.125,0.275,0.81396,0.08217,15.25573
1.975,0.225,0.81413,0.08032,7.0153
2.025,0.325,0.81329,0.07833,13.44367
1.675,0.025,0.81056,0.08946,359.30185
2.675,0.075,0.80399,0.05774,5.31661
2.575,0.125,0.81138,0.0931,15.30801
