X,Y,concentration,wind_speed,wind_dir
1.0875,0.1015,0.00277,0.08568,64.75688
0.2175,0.2465,0.00206,0.04797,277.70277
1.1455,0.2175,0.00305,0.02778,322.94448
2.1895,0.0725,0.00401,0.02647,295.57779
1.2615,0.2175,0.00299,0.02271,353.06904
2.9145,0.0435,0.00374,0.05825,66.03551
0.3625,0.1305,0.00204,0.10184,274.92344
0.5655,0.1305,0.00213,0.08106,282.48971
0.5365,0.2465,0.00216,0.03316,291.80783
4.3645,0.1305,0.00136,0.05733,322.67637
0.3625,0.0145,0.00193,0.16892,88.39878
0.5945,0.2465,0.00218,0.03034,292.84648
2.5955,0.0725,0.00394,0.03087,273.54739
4.5965,0.0145,0.00132,0.09391,293.82745
0.7395,0.0145,0.00212,0.13641,281.68228
3.7555,0.0435,0.00154,0.05114,299.80324
4.5965,0.1305,0.00133,0.05498,299.77332
3.6395,0.1595,0.00192,0.0603,287.39824
2.9725,0.0725,0.00369,0.05536,57.15098
0.9715,0.2465,0.00272,0.13468,277.95562
1.1455,0.1305,0.0029,0.04656,60.08723
0.0725,0.2755,0.00206,0.04631,274.97939
4.0455,0.0435,0.00142,0.07259,298.7081
3.0885,0.1885,0.00368,0.05265,38.3913
0.5075,0.2755,0.00215,0.02394,296.87551
1.4355,0.1305,0.0028,0.03386,18.33328
0.3625,0.1595,0.00206,0.08538,276.65143
1.5805,0.0145,0.00252,0.12885,49.48215
2.3925,0.1015,0.00403,0.0201,324.25352
4.1615,0.0435,0.0014,0.0817,301.06719
0.9425,0.1595,0.0025,0.10048,89.37272
1.7545,0.1305,0.00369,0.02932,278.86799
0.6815,0.1595,0.0022,0.06156,285.14246
0.7395,0.0435,0.00217,0.11347,282.30425
1.8125,0.0145,0.00371,0.07456,275.87346
0.8265,0.1595,0.0023,0.05637,279.20831
0.2755,0.1885,0.00204,0.07685,276.4324
3.9875,0.0725,0.00142,0.05188,305.79189
0.1885,0.0725,0.00191,0.14071,84.42919
2.1315,0.2465,0.0043,0.04311,204.49015
1.2615,0.2755,0.00307,0.05702,339.77564
3.1755,0.2175,0.00366,0.04383,29.37841
2.3055,0.2465,0.00429,0.03848,209.20934
0.5075,0.0725,0.00208,0.11185,278.57636
0.5945,0.1885,0.00217,0.05358,286.44626
4.4225,0.1885,0.00135,0.04206,332.35058
2.4795,0.0145,0.00382,0.07868,75.16897
2.3925,0.2465,0.00426,0.03302,207.72137
2.7405,0.0145,0.00379,0.08052,75.63239
3.8135,0.2175,0.00164,0.04988,276.36556
4.6255,0.1885,0.00133,0.04523,294.42299
3.7555,0.2175,0.00188,0.07886,274.49455
1.7255,0.0435,0.00342,0.07717,84.78809
1.7835,0.2755,0.00414,0.0322,187.49586
2.1895,0.0435,0.00396,0.0429,270.98845
2.1315,0.0435,0.00396,0.04307,273.43443
0.0145,0.1015,0.00189,0.1073,88.1307
2.1315,0.2755,0.00435,0.04308,206.37474
1.9285,0.0435,0.00393,0.0425,279.91894
0.2175,0.2175,0.00205,0.06111,276.96453
2.4795,0.2755,0.00425,0.02514,201.98341
0.4205,0.2175,0.00211,0.05163,283.12105
0.5075,0.2175,0.00214,0.04591,287.01005
3.2625,0.2465,0.00361,0.03081,21.41806
3.3495,0.1305,0.00337,0.05197,50.70827
2.5085,0.2755,0.00422,0.02214,196.58523
2.7695,0.1595,0.0039,0.02317,76.52158
2.8275,0.0435,0.00381,0.05288,73.41907
2.8275,0.1595,0.00385,0.03194,64.12484
0.8555,0.2175,0.00235,0.04173,272.74721
3.5525,0.0145,0.00164,0.07686,287.70179
0.8265,0.2175,0.00232,0.03757,274.71805
3.0595,0.5075,0.00417,0.02494,164.84362
0.1595,0.4785,0.0021,0.01251,279.24401
4.1035,0.4785,0.00135,0.04184,216.86716
3.0595,0.2755,0.00379,0.04517,30.75493
1.1745,0.3335,0.00328,0.07952,326.50976
2.1315,0.5365,0.00483,0.04242,220.34344
3.4945,0.3915,0.00274,0.11018,83.44388
