X,Y,concentration,wind_speed,wind_dir
0.525,0.425,0.79691,0.05873,10.69577
0.525,0.325,0.79658,0.06716,29.70256
0.275,0.325,0.79665,0.04249,6.10641
0.525,0.275,0.79656,0.06281,29.95307
0.525,0.075,0.79705,0.05757,9.01402
0.775,0.175,0.79786,0.04868,359.44683
0.575,0.325,0.79655,0.06856,32.54491
0.725,0.375,0.79752,0.0572,355.86942
0.675,0.175,0.79681,0.05704,18.39366
0.775,0.375,0.79756,0.05701,356.51019
1.275,0.325,0.80876,0.06576,329.5667
1.125,0.325,0.80619,0.06773,327.99013
1.425,0.425,0.80954,0.06449,327.69233
1.475,0.375,0.81026,0.06328,331.94456
1.225,0.075,0.80253,0.06908,352.48921
1.775,0.075,0.81227,0.09021,359.11713
1.925,0.325,0.81229,0.07057,1.72144
2.025,0.275,0.81395,0.08068,12.41865
1.975,0.225,0.81413,0.08032,7.0153
1.875,0.275,0.81249,0.07008,358.61817
2.425,0.225,0.8127,0.09408,17.32169
2.425,0.425,0.81258,0.09953,22.43963
2.575,0.025,0.80534,0.0645,0.30202
2.475,0.225,0.81271,0.09351,15.76191
2.675,0.275,0.80863,0.10374,21.60141
3.275,0.225,0.79934,0.03487,59.98606
2.825,0.175,0.80486,0.06137,20.53747
2.875,0.175,0.80463,0.05643,22.39726
2.875,0.275,0.80556,0.07628,26.98157
2.975,0.375,0.80571,0.09166,24.22461
3.475,0.125,0.79653,0.04467,125.40498
3.575,0.275,0.79627,0.05489,101.63544
3.725,0.225,0.79756,0.02338,86.59181
3.525,0.225,0.7964,0.06113,104.67963
3.725,0.375,0.79682,0.04247,77.25314
4.025,0.075,0.79786,0.07277,179.57484
4.275,0.225,0.79741,0.03444,247.12035
3.925,0.125,0.79774,0.01825,142.05617
3.875,0.075,0.79804,0.06451,167.92882
4.375,0.275,0.79754,0.03219,281.26804
4.425,0.325,0.79801,0.03651,305.18743
4.475,0.175,0.798,0.02207,236.30993
4.875,0.175,0.7979,0.02088,207.55916
4.675,0.225,0.7986,0.0389,208.24489
4.625,0.375,0.79844,0.03863,299.85711
5.325,0.075,0.79016,0.07436,201.292
5.475,0.425,0.78299,0.10802,270.51449
5.025,0.075,0.79157,0.10817,183.48746
4.975,0.325,0.79947,0.02152,299.48395
5.275,0.425,0.796,0.02337,284.39296
